,sentence,val
0,f out out sortie §,3
1,Dans l' Arc tiquel ' aperçois réalise §,5
2,De plus d' amérique du Nord A et gui rgy ant u 3 sks walking dead the young po th the young pope hwo how how i §,17
3,these routard a tassimo capsule detar horaire franprix gennevilliers luth §,5
4,du s §,1
5,Par régime l' auteur entend ici X ou Y ) . §,3
6,Ce passage . §,2
7,? §,1
8,Il s' agira ici de déterminer les a ou les visées que l' on peut attribuer aux guides de voyages et plus spécifiquement au Guide du Routard §,3
9,"Tout d' abord , l , qui a lui une visée plutot descriptive , narrative . §",2
10,"Toutefois , §",1
11,"Il est possible de citer commes preuve de cette appartenance du moins partielle au genre &quot; récit de voyage &quot; , la présence d' anecdotes et - pour guide de voyage / visée didactique = énonciateur anonyme , dépersonnalisation objectiisation du propos VS - pour récit de voyage : changement d' énonciateur ? §",3
12,"Présence de phrases verbales , phrases averbales §",2
13,A §,1
14,Alternance des séquences §,1
15,Le guide de voyage : un ou des genres de discours ? §,2
16,genres discurifs de l' alternance des genres discursifs §,2
17,Palais de l' Élysée - Mardi 15 Mai 2012 §,0
18,"Monsieur le Chef , Mesdames , Messieurs §",1
19,"En ce jour je suis investi de la plus haute charge des cuisines , j' adresse aux commis un §",1
20,Il faudra faire preuve de rigueur pour remonter l' échelle de notation du guide Michelin . §,2
21,message de confiance . §,1
22,"Nous sommes une grande cuisine qui dans son histoire à toujours su mettre en place les ustensiles et chambres froides , fours , . §",4
23,nécessaire à la préparation des plus grands mets . §,2
24,) ( / du financier À §,4
25,Tel est notre la confiance qui m' est accordé par tous les clients de cette §,2
26,XXX : servir un financier le e §,3
27,Instructions de cuisine : §,1
28,"La chaleur provoquera une dette massive en eau , grâce aux oeufs et présents dans la préparation lors de sa mise au four . §",5
29,"Il y aura une croissance faible du volume du financier , induite par la taille des récipients es quantités . §",3
30,Si vous faites un faux pas ce sera la crise : Il faudra faire preuve de rigueur pour remonter l' échelle de notation du guide Michelin . §,2
31,"Je mesure le poids de ce qu' il nous faut : poudres d' amandes , farine fluide , sucre , beurre , blanc d' oeufs , cuillère à café d' extrait de vanille , petite pincée de sel . §",3
32,"Aucun de ces aliments ne sera amener à chaumer er s ômer a eront r ra : la productivité de notre plongeur nous permettra d' avoir des ustensiles de qualités , l' excellence de nos commis préparateur commis second chefs . §",16
33,"Sans mettre le feu à la poudre d' amande , je conseille m' engage à fai promouvoir et l' hétérogénéité du mélange entre le sucre , la farine fluide et la vanille . §",5
34,"Bien qu avec e délicat , ce mélange est nécessaire à la réussite de notre réalisation . §",7
35,"pou pour beurrer les moules , §",2
36,Cet engagement s' accompagnera d' un ajout de masse : les blancs en neige ferme avec une pincée de sel . §,7
37,Nous utiliserons les produits de ma campagne §,1
38,Nous n' allons pas nous enteriner ér §,2
39,Il faudra décorer les financiers pour les rendre plus attractifs §,0
40,"pour mener à bien notre projet nous ne résolvons pas les problèmes aucun e élèvation n' aura lieu , nous seront contraint de se retard de croissance défaut de croissance entrainera un mécontentement des attentes en amont §",10
