#Num	#Type	#Forme	#POS	#Lemme	#POS	#MORPH	#REL(ID_Gouv)	#PAUSE
1	forme	synthèse	NC	synthèse	NC	n=s|g=f	_()	_
2	delim		BLANK	BLANK	_	_	_	_
3	forme	Anny	NPP	_	NPP	_	MOD(1)	_
4	delim		BLANK	BLANK	_	_	_	_
5	forme	Boulonnais	NPP	_	NPP	_	MOD(1)	_
6	delim		BLANK	BLANK	_	_	_	_
7	forme	S	NPP	_	NPP	_	MOD(1)	P
8	delim		BLANK	BLANK	_	_	_	_
9	delim	§	DELIM	§	_	_	_	_
10	delim		BLANK	BLANK	_	_	_	_
11	forme	HISTORIQUE	ADJ	historique	ADJ	n=s	_()	P
12	delim		BLANK	BLANK	_	_	_	_
13	delim	§	DELIM	§	_	_	_	_
14	delim		BLANK	BLANK	_	_	_	_
15	forme	Anny	NPP	_	NPP	_	SUJ(17)	P
16	delim		BLANK	BLANK	_	_	_	_
17	forme	est	V	être	V	n=s|t=P|p=3	ROOT	_
18	delim		BLANK	BLANK	_	_	_	_
19	forme	l'	DET	le	DET	n=s	DET(21)	_
20	delim		BLANK	BLANK	_	_	_	_
21	forme	enfant	NC	enfant	NC	n=s	OBJ(17)	_
22	delim		BLANK	BLANK	_	_	_	_
23	forme	d'	P	de	P	_	MOD(17)	_
24	delim		BLANK	BLANK	_	_	_	_
25	forme	une	DET	une	DET	n=s|g=f	DET(27)	_
26	delim		BLANK	BLANK	_	_	_	_
27	forme	fratrie	NC	fratrie	NC	n=s|g=f	PREP(23)	_
28	delim		BLANK	BLANK	_	_	_	_
29	forme	de	P	de	P	_	MOD(17)	P
30	delim		BLANK	BLANK	_	_	_	_
31	forme	cinq	DET	cinq	DET	s=card|n=p	DET(33)	_
32	delim		BLANK	BLANK	_	_	_	_
33	forme	enfants	NC	enfant	NC	n=p	PREP(29)	_
34	delim		BLANK	BLANK	_	_	_	_
35	forme	la	DET	la	DET	n=s|g=f	_()	P
36	delim		BLANK	BLANK	_	_	_	_
37	forme	dernière	ADJ	dernier	ADJ	n=s|g=f	_()	_
38	delim		BLANK	BLANK	_	_	_	_
39	forme	.	PONCT	.	_	_	_	P
40	delim		BLANK	BLANK	_	_	_	_
41	delim	§	DELIM	§	_	_	_	_
42	delim		BLANK	BLANK	_	_	_	_
43	forme	M	ADV	_	ADV	_	MOD(57)	P
44	delim		BLANK	BLANK	_	_	_	_
45	forme	la	DET	la	DET	n=s|g=f	DET(47)	P
46	delim		BLANK	BLANK	_	_	_	_
47	forme	famille	NC	famille	NC	n=s|g=f	SUJ(57)	_
48	delim		BLANK	BLANK	_	_	_	_
49	forme	Bron	NPP	Bron	NPP	n=s|g=f,m	MOD(47)	_
50	delim		BLANK	BLANK	_	_	_	_
51	delim	-	PONCT	-	_	_	_	_
52	delim		BLANK	BLANK	_	_	_	_
53	forme	Boulonnais	NC	boulonnais	NC	g=m	MOD(47)	_
54	delim		BLANK	BLANK	_	_	_	_
55	forme	a	ADV	_	ADV	_	MOD(57)	_
56	delim		BLANK	BLANK	_	_	_	_
